,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4650,2,1.0,1.0,1.0,150.0,4,31,113
7494,2,1.0,1.0,1.0,83.0,1,1125,63
6354,3,1.0,1.0,2.0,79.0,2,1125,58
4800,4,1.0,1.5,1.0,75.0,90,100,1
4775,2,1.0,1.0,1.0,129.0,3,30,32
1684,4,2.0,2.0,3.0,145.0,5,20,49
6300,6,2.0,1.0,5.0,160.0,4,365,29
6288,2,1.0,1.0,1.0,90.0,3,92,126
969,2,1.0,1.0,1.0,30.0,15,60,2
4245,2,0.0,1.0,1.0,60.0,3,1125,0
142,4,3.0,1.0,3.0,80.0,6,18,5
3211,7,3.0,1.5,4.0,255.0,91,1125,26
4659,2,1.0,1.0,1.0,70.0,2,1125,0
7113,2,1.0,1.0,0.0,140.0,2,1125,11
1894,5,2.0,1.0,3.0,115.0,3,1125,8
199,2,1.0,1.0,1.0,52.0,6,478,259
2907,4,1.0,1.0,2.0,130.0,7,1125,32
256,2,1.0,1.0,1.0,60.0,3,30,251
4737,3,0.0,1.0,2.0,45.0,10,169,14
3134,2,1.0,1.5,1.0,295.0,3,30,96
6888,2,1.0,1.0,1.0,70.0,7,7,0
5567,6,2.0,1.5,3.0,149.0,3,90,3
4747,3,0.0,1.0,1.0,69.0,1,1125,206
1924,2,1.0,1.0,1.0,45.0,3,15,142
2275,4,1.0,1.0,2.0,85.0,5,120,109
1027,4,1.0,1.0,2.0,110.0,3,30,110
4592,2,1.0,1.0,1.0,160.0,2,8,72
504,3,2.0,1.0,2.0,70.0,3,90,33
6642,2,0.0,1.0,1.0,50.0,3,1125,13
113,4,1.0,1.0,1.0,120.0,3,10,105
2566,2,1.0,1.0,1.0,130.0,3,100,98
2615,4,2.0,1.0,2.0,150.0,2,30,88
2006,8,4.0,2.0,5.0,240.0,2,1125,40
4045,1,1.0,1.0,0.0,49.0,5,1125,36
1897,2,1.0,1.0,1.0,75.0,1,14,110
4047,5,2.0,1.0,3.0,89.0,1,1125,5
930,2,1.0,1.0,0.0,130.0,2,30,27
4387,2,1.0,1.0,1.0,120.0,4,1125,21
5476,3,1.0,1.0,2.0,70.0,14,31,1
7996,4,1.0,1.0,2.0,60.0,3,1125,4
2052,2,1.0,1.0,1.0,150.0,4,30,17
6016,2,1.0,1.0,0.0,55.0,2,1125,54
7719,2,0.0,1.0,1.0,48.0,7,14,10
1076,2,1.0,1.0,1.0,85.0,2,60,214
986,3,1.0,1.0,2.0,65.0,5,45,17
4849,4,1.0,1.0,2.0,78.0,2,1125,58
1458,4,2.0,1.0,2.0,140.0,5,10,0
5525,2,1.0,1.0,1.0,72.0,5,1125,12
4748,2,1.0,1.0,1.0,80.0,4,1125,22
2018,6,2.0,1.0,3.0,150.0,2,14,76
4783,5,2.0,1.0,3.0,80.0,4,1125,17
6443,4,2.0,1.0,2.0,120.0,4,1125,0
3148,2,1.0,1.0,1.0,55.0,2,1125,9
4460,2,0.0,1.0,1.0,55.0,2,1125,11
2197,4,1.0,1.0,2.0,112.0,4,90,29
6448,2,1.0,1.0,1.0,35.0,3,200,40
7236,4,1.0,1.0,1.0,180.0,2,1125,129
1559,4,1.0,1.0,2.0,135.0,2,150,157
386,2,1.0,1.0,1.0,115.0,2,14,86
7773,3,1.0,1.0,2.0,50.0,1,3,0
6434,2,0.0,1.0,1.0,60.0,4,1125,2
6077,2,1.0,1.0,1.0,57.0,2,21,3
7206,2,1.0,1.0,1.0,185.0,2,1125,84
5655,6,3.0,2.0,3.0,169.0,3,1125,16
7807,3,1.0,1.0,2.0,65.0,2,1125,11
7729,2,1.0,1.0,0.0,46.0,1,31,310
3326,3,1.0,1.0,2.0,109.0,3,365,6
4002,2,1.0,1.0,1.0,230.0,3,40,3
6981,4,1.0,1.0,2.0,140.0,3,1125,189
3523,2,1.0,1.0,1.0,38.0,3,1125,2
7042,2,0.0,1.0,1.0,60.0,3,30,301
3497,4,2.0,1.0,2.0,110.0,3,21,6
151,2,1.0,1.0,1.0,99.0,2,365,206
5509,3,2.0,1.0,1.0,150.0,5,1125,3
1199,4,2.0,1.0,2.0,80.0,2,15,9
1271,4,2.0,1.0,2.0,125.0,6,30,47
3306,4,1.0,1.0,2.0,169.0,7,120,1
6587,4,1.0,1.0,2.0,110.0,3,90,13
7813,2,1.0,1.0,1.0,80.0,3,100,41
3994,2,0.0,1.0,1.0,109.0,4,366,5
6978,5,1.0,1.0,1.0,100.0,14,18,40
3049,2,0.0,1.0,1.0,60.0,1,112,31
3435,4,1.0,1.0,3.0,79.0,4,1125,146
4331,2,1.0,1.0,1.0,50.0,4,18,29
7965,2,1.0,1.0,1.0,90.0,1,1125,0
3867,2,1.0,1.0,1.0,50.0,1,5,322
5040,2,0.0,1.0,1.0,59.0,5,60,15
2409,1,1.0,0.5,1.0,29.0,6,1125,57
